a1_u_value_external_walls,a3_u_value_external_windows,a4_g_value,a5_infiltration_rate,b1_ahu_fan_efficiency,b12_sat,d1_htgsp_office,d2_htgsp_office_st,e1_natural_ventilation_rate,b10_airloophvac
5.396718,1.370933,0.378685,0.774,0.475513,23.360041,23.337075,17.481081,0.406722,0.875966
5.459661,1.30828,0.392827,0.9611999999999999,0.517509,18.939462,23.986463,15.636894,0.845584,0.910752
5.80007,1.423284,0.380426,0.8064,0.512513,20.006562,21.088498,15.598015,1.052699,0.846016
6.631775,1.31638,0.365709,0.9648,0.616253,21.960352,23.57011,16.742256,0.053542,0.857724
6.524348,1.388293,0.333557,0.9359999999999999,0.581929,21.724531,21.572302,16.834078,1.088316,0.901219
6.149195,1.3611,0.383288,0.63,0.430148,21.007303,21.530074,17.293265,0.691296,1.188309
5.47584,1.472762,0.354142,0.9,0.556526,21.687956,21.236199,17.666002,0.119213,0.986275
6.894669,1.421163,0.37979,0.972,0.570842,18.314471,21.430352,15.836235,0.563163,0.971617
7.007515,1.487103,0.317669,0.8208000000000001,0.746294,20.340318,21.821883,16.596098,0.961292,0.886128
5.668776,1.383657,0.335981,0.7632,0.605469,20.228384,22.273957,17.747583,0.219739,0.966114
6.175399,1.321496,0.368291,0.6696,0.571327,26.017286,22.707467,15.089885,0.766219,0.791077
5.304302,1.412042,0.358642,0.6228,0.560871,18.825011,23.500283,15.934928,1.276523,0.872355
5.932521,1.436512,0.314234,0.7308,0.54917,24.29266,21.976734,16.190369,0.948265,0.798515
5.635887,1.454776,0.302909,0.7848,0.490328,19.880887,23.388101,16.038387,0.000494,0.859336
6.343201,1.431492,0.391504,0.792,0.41144,20.924212,23.920963,15.296214,0.06709,1.103275
5.370825,1.327468,0.343946,0.6912,0.594502,19.985587,22.622725,17.77309,0.714828,0.813286
5.572089,1.4602,0.394937,0.9576,0.496825,21.337049,21.846194,16.050355,1.241016,1.031918
5.592891,1.443211,0.339311,0.6012,0.565654,21.609753,22.816594,16.649343,1.331311,0.984764
6.239072,1.303324,0.353833,0.8244,0.525922,20.867686,21.49403,17.970644,0.282467,0.937675
5.494767,1.305923,0.345186,0.7884,0.551748,19.542413,21.667607,15.40902,0.393233,0.932237
5.899777,1.384148,0.311248,0.9432,0.523158,22.102164,21.644559,17.161252,1.063734,0.809384
5.679433,1.34932,0.312238,0.9072,0.532701,22.416129,23.469896,16.368719,0.080043,0.815411
6.793333,1.300673,0.356751,0.7596,0.513404,21.083422,23.697703,17.573592,0.509875,0.973463
6.803406,1.464316,0.336174,0.7272000000000001,0.541088,18.528148,23.307007,17.864241,0.462285,0.861985
6.063898,1.46211,0.39609,0.8964,0.619342,21.402485,22.978935,15.972165,0.240615,0.773701
6.367407,1.450729,0.397618,0.7200000000000001,0.574195,20.510857,21.389755,16.463432,0.679244,0.943621
6.711088,1.47944,0.316263,0.594,0.548321,21.209864,22.779101,15.330943,0.291566,0.958514
6.677062,1.40381,0.386824,0.6768,0.528153,21.200868,23.646222,17.345489,0.612138,0.928509
5.694714,1.363639,0.328974,0.7343999999999999,0.663139,19.866784,21.268549,17.635758,1.288609,0.838789
7.060512,1.387113,0.393811,0.8352,0.625505,22.968749,23.457514,17.391725,0.568234,0.89763
5.435418,1.427123,0.35914,0.774,0.517974,19.283816,23.096846,15.005522,0.936525,0.820103
6.01328,1.323877,0.327289,0.5832,0.544036,20.275867,21.618315,16.876521,0.517496,1.014352
6.977167,1.496935,0.357745,0.6048,0.610013,23.520917,22.251727,17.711776,0.745907,0.873375
6.555041,1.49238,0.355778,0.6948,0.535666,20.763878,22.0219,17.882842,0.727424,0.881803
6.963757,1.458228,0.385919,0.6624,0.440962,18.254336,23.527747,17.00458,0.024242,0.844518
6.772102,1.475086,0.322877,0.7343999999999999,0.659806,18.050296,22.993649,17.842064,0.032503,0.732706
6.181936,1.489284,0.32342,0.5868,0.49905,20.646004,23.722181,15.925889,0.195163,0.893318
5.377433,1.411663,0.360993,0.6444,0.479357,22.903208,22.112563,15.662325,0.884516,0.893082
5.505711,1.340686,0.315722,0.6192,0.529647,24.704707,21.181741,16.291297,0.978724,0.866338
6.64036,1.391244,0.310039,0.7056,0.580063,21.282061,21.120833,15.872136,1.188045,0.826395
5.266139,1.378594,0.340211,0.8892,0.587073,19.759228,21.417367,16.658846,0.166242,0.934919
5.523753,1.337592,0.305446,0.7452,0.642415,21.509314,22.940861,17.953553,0.917256,0.919566
6.929661,1.476258,0.330436,0.8712,0.601908,19.134378,23.233356,15.263193,0.605053,0.947091
6.291342,1.357583,0.303421,0.8604,0.510401,22.776354,23.812049,16.414507,1.12537,0.840115
6.902262,1.434376,0.344478,0.6876,0.557918,15.817997,21.73642,16.16537,0.484315,0.963237
6.606046,1.445608,0.37655,0.6552,0.507784,20.825845,22.058163,15.099872,0.989922,0.806185
6.010222,1.409724,0.329745,0.8495999999999999,0.500825,20.713065,22.456746,16.976724,0.636987,0.752411
5.547321,1.400005,0.366982,0.9288,0.5149,17.403846,23.905415,17.253442,0.458298,0.821126
7.117126,1.313423,0.30631,0.6516000000000001,0.578071,19.513272,23.20122,15.568614,0.144288,0.887065
